,method,Ntrain,kernel,train_error,test_error
0,GPR,20,1**2 * RBF(length_scale=10),0.0,0.30594635152879385
1,GPR,50,1**2 * RBF(length_scale=10),0.0,0.15932074031673346
2,GPR,100,1**2 * RBF(length_scale=10),0.0,0.0811235513651542
3,GPR,500,1**2 * RBF(length_scale=10),0.0,0.01773323053199691
4,GPR,20,DotProduct(sigma_0=1),0.0,0.4430688426186457
5,GPR,50,DotProduct(sigma_0=1),0.0,0.6630414043121541
6,GPR,100,DotProduct(sigma_0=1),0.0,0.2539776075427225
7,GPR,500,DotProduct(sigma_0=1),0.04742818971275885,0.08532510922641992
8,GPR,20,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0,0.4526355280435191
9,GPR,50,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0,0.6941423392482351
10,GPR,100,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.003367003367003368,0.2889412689059124
11,GPR,500,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.03740814963259853,0.0827550758159856
12,GPR,20,1**2 * RBF(length_scale=1),0.0,0.39692365409866814
13,GPR,50,1**2 * RBF(length_scale=1),0.0,0.1684792978439229
14,GPR,100,1**2 * RBF(length_scale=1),0.0,0.10194460813199764
15,GPR,500,1**2 * RBF(length_scale=1),0.0,0.02081727062451812
16,GPR,20,1**2 * RBF(length_scale=7.5),0.0,0.37760270118176703
17,GPR,50,1**2 * RBF(length_scale=7.5),0.0,0.1595115435985499
18,GPR,100,1**2 * RBF(length_scale=7.5),0.0,0.06717737183264584
19,GPR,500,1**2 * RBF(length_scale=7.5),0.0,0.012336160370084807
20,GPR,20,1**2 * RBF(length_scale=25),0.0,0.3676608516225849
21,GPR,50,1**2 * RBF(length_scale=25),0.0,0.1511161991986262
22,GPR,100,1**2 * RBF(length_scale=25),0.0,0.07051659791789433
23,GPR,500,1**2 * RBF(length_scale=25),0.0,0.015677203803649446
24,GPR,20,1**2 * RBF(length_scale=75),0.0,0.31288688801350595
25,GPR,50,1**2 * RBF(length_scale=75),0.0,0.14233924823506966
26,GPR,100,1**2 * RBF(length_scale=75),0.0,0.07915930072677274
27,GPR,500,1**2 * RBF(length_scale=75),0.0,0.017219223849910047
28,GPR,20,DotProduct(sigma_0=0),0.0,0.4261864565747514
29,GPR,50,DotProduct(sigma_0=0),0.0,0.6956687655027667
30,GPR,100,DotProduct(sigma_0=0),0.0,0.23158515026517384
31,GPR,500,DotProduct(sigma_0=0),0.04475617902471609,0.09663325623233104
32,GPR,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.4818983305196023
33,GPR,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.7218088151116199
34,GPR,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.2632095855431153
35,GPR,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.04275217100868404,0.08866615265998458
36,GPR,20,DotProduct(sigma_0=1e-05),0.0,0.4207465766272744
37,GPR,50,DotProduct(sigma_0=1e-05),0.0,0.7443236023659606
38,GPR,100,DotProduct(sigma_0=1e-05),0.0,0.2691023374582597
39,GPR,500,DotProduct(sigma_0=1e-05),0.04542418169672678,0.08969416602415832
